ship 0 path
0	0
6	9
3	24
2	42
0	55
8	68
-1	71
0	0
6	34
7	68
-1	71
7	0
5	39
0	65
-1	71
0	0
4	47
-1	71
2	71
-1	71

ship 1 path
1	0
7	12
6	23
3	40
2	51
9	60
-1	71
5	0
2	43
7	64
-1	71
6	0
7	32
1	43
9	62
-1	71
5	0
4	29
9	70
-1	71

ship 2 path
2	0
8	6
1	25
5	34
7	50
5	61
-1	71
8	0
3	36
0	58
-1	71
8	0
4	39
0	69
-1	71
3	0
2	24
7	50
-1	71
0	0
-1	34

ship 3 path
3	0
9	8
0	24
8	38
4	48
6	65
-1	71
4	0
1	39
-1	71
3	0
1	34
2	59
-1	71
8	0
9	28
1	59
-1	71
3	0
-1	16

ship 4 path
4	0
5	11
4	26
9	38
1	50
3	60
8	69
-1	71
9	0
4	54
-1	71
9	0
5	44
3	62
-1	71
6	0
3	33
8	66
-1	71

